index, ChartLabel, SetName, Slope, N=, RSquared, PValue, YIntercept, MeanX, MeanY
1, ln-ln (D Ncpv vs. D Cac), Omega, 0.620, 100, 0.22871, 0.591055905, -0.78004, 2.99, 1.07542
2, ln-ln (D Ncpv vs. D Cac), Alpha, 0.598, 88, 0.22246, 0.598324420, -0.77564, 3.00, 1.01964
3, ln-ln (D Ncpv vs. D Cac), Zeta, 0.957, 12, 0.38591, 0.485856421, -1.28608, 2.90, 1.48451
4, ln-ln (D Ncpv vs. D Cac), Beta, 0.338, 40, 0.05521, 0.814993869, 1.02159, 3.61, 2.24321
5, ln-ln (D Ncpv vs. D Cac), Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 2.50, 0.00000
6, ln-ln (D Ncpv vs. D Cac), Theta, -0.263, 23, 0.10225, 0.750274814, 2.20772, 3.38, 1.31801
7, ln-ln (D Ncpv vs. D Cac), Eta, 0.257, 17, 0.10752, 0.748897541, 2.48797, 3.92, 3.49494
8, ln-ln (D Ncpv vs. D Cac), BetaUZeta, 0.539, 52, 0.14291, 0.690563880, 0.20987, 3.45, 2.06812
9, ln-ln (D Tps vs. D Cac), Omega, 1.246, 100, 0.17174, 0.653138313, 0.62678, 0.36, 1.07542
10, ln-ln (D Tps vs. D Cac), Alpha, 1.244, 88, 0.18206, 0.642112512, 0.60840, 0.33, 1.01964
11, ln-ln (D Tps vs. D Cac), Zeta, 0.770, 12, 0.02190, 0.894066934, 1.03972, 0.58, 1.48451
12, ln-ln (D Tps vs. D Cac), Beta, -0.200, 40, 0.00702, 0.935118988, 2.37151, 0.64, 2.24321
13, ln-ln (D Tps vs. D Cac), Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 0.07, 0.00000
14, ln-ln (D Tps vs. D Cac), Theta, 0.178, 23, 0.01803, 0.898203387, 1.19887, 0.67, 1.31801
15, ln-ln (D Tps vs. D Cac), Eta, -0.345, 17, 0.07899, 0.787007051, 3.70191, 0.60, 3.49494
16, ln-ln (D Tps vs. D Cac), BetaUZeta, -0.100, 52, 0.00132, 0.971729262, 2.13053, 0.63, 2.06812
17, ln-ln (D Pav vs. D Cac), Omega, 61.422, 100, 0.24163, 0.577575797, 0.33090, 0.01, 1.07542
18, ln-ln (D Pav vs. D Cac), Alpha, 66.598, 88, 0.30160, 0.517659866, 0.22675, 0.01, 1.01964
19, ln-ln (D Pav vs. D Cac), Zeta, -22.630, 12, 0.01916, 0.901010317, 1.79464, 0.01, 1.48451
20, ln-ln (D Pav vs. D Cac), Beta, 34.968, 40, 0.11815, 0.723243556, 1.60409, 0.02, 2.24321
21, ln-ln (D Pav vs. D Cac), Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 0.01, 0.00000
22, ln-ln (D Pav vs. D Cac), Theta, -9.470, 23, 0.02590, 0.877659892, 1.45960, 0.01, 1.31801
23, ln-ln (D Pav vs. D Cac), Eta, 30.682, 17, 0.31060, 0.537857519, 2.79610, 0.02, 3.49494
24, ln-ln (D Pav vs. D Cac), BetaUZeta, 32.016, 52, 0.08112, 0.771984957, 1.51675, 0.02, 2.06812
25, ln-ln (D Tcpv) vs. D Cac), Omega, 1.086, 100, 0.67612, 0.155805567, 0.08032, 0.92, 1.07542
26, ln-ln (D Tcpv) vs. D Cac), Alpha, 1.100, 88, 0.70824, 0.127173896, 0.02191, 0.91, 1.01964
27, ln-ln (D Tcpv) vs. D Cac), Zeta, 0.935, 12, 0.46709, 0.412756273, 0.56368, 0.98, 1.48451
28, ln-ln (D Tcpv) vs. D Cac), Beta, 0.824, 40, 0.43490, 0.397881475, 0.77720, 1.78, 2.24321
29, ln-ln (D Tcpv) vs. D Cac), Gamma, 0.000, 48, NaN, 1.000000000, 0.00000, 0.18, 0.00000
30, ln-ln (D Tcpv) vs. D Cac), Theta, 0.258, 23, 0.10468, 0.747107974, 1.00605, 1.21, 1.31801
31, ln-ln (D Tcpv) vs. D Cac), Eta, 0.198, 17, 0.03685, 0.856672617, 2.99051, 2.55, 3.49494
32, ln-ln (D Tcpv) vs. D Cac), BetaUZeta, 0.859, 52, 0.47335, 0.357026991, 0.69764, 1.60, 2.06812
33, D Ncpv vs D Cac, Omega, 0.409, 100, 0.25575, 0.563039934, -4.36562, 31.50, 8.51000
